DATE,BAMLH0A3HYCEY
2017-09-07,10.56
2017-09-08,10.64
2017-09-11,10.6
2017-09-12,10.58
2017-09-13,10.55
2017-09-14,10.44
2017-09-15,10.42
2017-09-18,10.39
2017-09-19,10.37
2017-09-20,10.33
2017-09-21,10.36
2017-09-22,10.38
2017-09-25,10.36
2017-09-26,10.32
2017-09-27,10.30
2017-09-28,10.29
2017-09-29,10.28
2017-09-30,10.34
2017-10-02,10.36
2017-10-03,10.37
2017-10-04,10.35
2017-10-05,10.30
2017-10-06,10.37
2017-10-09,10.38
2017-10-10,10.36
2017-10-11,10.39
2017-10-12,10.41
2017-10-13,10.42
2017-10-16,10.29
2017-10-17,10.25
2017-10-18,10.27
2017-10-19,10.27
2017-10-20,10.26
2017-10-23,10.18
2017-10-24,10.20
2017-10-25,10.32
2017-10-26,10.33
2017-10-27,10.41
2017-10-30,10.40
2017-10-31,10.53
2017-11-01,10.53
2017-11-02,10.59
2017-11-03,10.57
2017-11-06,10.56
2017-11-07,10.57
2017-11-08,10.74
2017-11-09,10.85
2017-11-10,10.82
2017-11-13,10.82
2017-11-14,10.91
2017-11-15,11.09
2017-11-16,10.92
2017-11-17,10.86
2017-11-20,10.87
2017-11-21,10.82
2017-11-22,10.82
2017-11-23,10.82
2017-11-24,10.82
2017-11-27,10.79
2017-11-28,10.82
2017-11-29,10.78
2017-11-30,10.81
2017-12-01,10.76
2017-12-04,10.67
2017-12-05,10.65
2017-12-06,10.70
2017-12-07,10.75
2017-12-08,10.72
2017-12-11,10.72
2017-12-12,10.70
2017-12-13,10.70
2017-12-14,10.64
2017-12-15,10.69
2017-12-18,10.73
2017-12-19,10.73
2017-12-20,10.71
2017-12-21,10.65
2017-12-22,10.65
2017-12-25,.
2017-12-26,10.66
2017-12-27,10.63
2017-12-28,10.63
2017-12-29,10.64
2017-12-31,10.53
2018-01-01,.
2018-01-02,10.46
2018-01-03,10.32
2018-01-04,10.16
2018-01-05,10.10
2018-01-08,10.11
2018-01-09,10.12
2018-01-10,10.25
2018-01-11,10.15
2018-01-12,10.14
2018-01-15,10.10
2018-01-16,10.09
2018-01-17,10.13
2018-01-18,10.18
2018-01-19,10.25
2018-01-22,10.26
2018-01-23,10.14
2018-01-24,10.11
2018-01-25,10.07
2018-01-26,10.00
2018-01-29,10.05
2018-01-30,10.13
2018-01-31,10.13
2018-02-01,10.15
2018-02-02,10.32
2018-02-05,10.47
2018-02-06,10.65
2018-02-07,10.51
2018-02-08,10.74
2018-02-09,10.98
2018-02-12,10.86
2018-02-13,10.89
2018-02-14,10.83
2018-02-15,10.65
2018-02-16,10.52
2018-02-19,10.53
2018-02-20,10.55
2018-02-21,10.58
2018-02-22,10.63
2018-02-23,10.66
2018-02-26,10.50
2018-02-27,10.44
2018-02-28,10.35
2018-03-01,10.45
2018-03-02,10.59
2018-03-05,10.50
2018-03-06,10.40
2018-03-07,10.46
2018-03-08,10.45
2018-03-09,10.39
2018-03-12,10.39
2018-03-13,10.50
2018-03-14,10.49
2018-03-15,10.55
2018-03-16,10.58
2018-03-19,10.70
2018-03-20,10.74
2018-03-21,10.73
2018-03-22,10.80
2018-03-23,10.82
2018-03-26,10.84
2018-03-27,10.78
2018-03-28,10.85
2018-03-29,10.83
2018-03-30,.
2018-03-31,10.46
2018-04-02,10.50
2018-04-03,10.51
2018-04-04,10.52
2018-04-05,10.36
2018-04-06,10.35
2018-04-09,10.32
2018-04-10,10.20
2018-04-11,10.17
2018-04-12,10.10
2018-04-13,10.07
2018-04-16,9.90
2018-04-17,9.82
2018-04-18,9.79
2018-04-19,9.94
2018-04-20,9.96
2018-04-23,10.03
2018-04-24,10.09
2018-04-25,10.20
2018-04-26,10.11
2018-04-27,10.07
2018-04-30,10.02
2018-05-01,10.04
2018-05-02,9.93
2018-05-03,9.98
2018-05-04,9.93
2018-05-07,9.93
2018-05-08,9.93
2018-05-09,9.89
2018-05-10,9.84
2018-05-11,9.84
2018-05-14,9.79
2018-05-15,9.86
2018-05-16,9.86
2018-05-17,9.82
2018-05-18,9.81
2018-05-21,9.78
2018-05-22,9.77
2018-05-23,9.78
2018-05-24,9.80
2018-05-25,9.81
2018-05-28,9.81
2018-05-29,9.88
2018-05-30,9.84
2018-05-31,9.85
2018-06-01,9.87
2018-06-04,9.85
2018-06-05,9.80
2018-06-06,9.71
2018-06-07,9.63
2018-06-08,9.65
2018-06-11,9.54
2018-06-12,9.56
2018-06-13,9.55
2018-06-14,9.41
2018-06-15,9.48
2018-06-18,9.50
2018-06-19,9.56
2018-06-20,9.50
2018-06-21,9.50
2018-06-22,9.51
2018-06-25,9.62
2018-06-26,9.63
2018-06-27,9.65
2018-06-28,9.81
2018-06-29,9.76
2018-06-30,10.04
2018-07-02,10.19
2018-07-03,10.16
2018-07-04,10.16
2018-07-05,10.14
2018-07-06,10.13
2018-07-09,10.06
2018-07-10,9.99
2018-07-11,10.05
2018-07-12,9.99
2018-07-13,9.92
2018-07-16,9.91
2018-07-17,9.91
2018-07-18,9.87
2018-07-19,9.88
2018-07-20,9.86
2018-07-23,9.87
2018-07-24,9.79
2018-07-25,9.83
2018-07-26,9.79
2018-07-27,9.78
2018-07-30,9.82
2018-07-31,9.76
2018-08-01,9.75
2018-08-02,9.67
2018-08-03,9.68
2018-08-06,9.63
2018-08-07,9.63
2018-08-08,9.65
2018-08-09,9.65
2018-08-10,9.74
2018-08-13,9.84
2018-08-14,9.77
2018-08-15,9.85
2018-08-16,9.79
2018-08-17,9.80
2018-08-20,9.79
2018-08-21,9.79
2018-08-22,9.75
2018-08-23,9.78
2018-08-24,9.79
2018-08-27,9.79
2018-08-28,9.78
2018-08-29,9.76
2018-08-30,9.75
2018-08-31,9.78
2018-09-03,9.78
2018-09-04,9.74
2018-09-05,9.78
2018-09-06,9.81
2018-09-07,9.86
2018-09-10,9.82
2018-09-11,9.73
2018-09-12,9.65
2018-09-13,9.63
2018-09-14,9.65
2018-09-17,9.57
2018-09-18,9.56
2018-09-19,9.60
2018-09-20,9.57
2018-09-21,9.55
2018-09-24,9.67
2018-09-25,9.62
2018-09-26,9.59
2018-09-27,9.57
2018-09-28,9.53
2018-09-30,9.68
2018-10-01,9.63
2018-10-02,9.60
2018-10-03,9.60
2018-10-04,9.81
2018-10-05,9.87
2018-10-08,9.87
2018-10-09,9.94
2018-10-10,10.06
2018-10-11,10.14
2018-10-12,10.07
2018-10-15,10.03
2018-10-16,10.00
2018-10-17,10.02
2018-10-18,10.05
2018-10-19,10.05
2018-10-22,10.08
2018-10-23,10.22
2018-10-24,10.27
2018-10-25,10.41
2018-10-26,10.53
2018-10-29,10.60
2018-10-30,10.80
2018-10-31,10.86
2018-11-01,10.88
2018-11-02,10.87
2018-11-05,10.89
2018-11-06,10.86
2018-11-07,10.79
2018-11-08,10.85
2018-11-09,11.03
2018-11-12,11.03
2018-11-13,11.25
2018-11-14,11.37
2018-11-15,11.61
2018-11-16,11.67
2018-11-19,11.77
2018-11-20,11.98
2018-11-21,11.88
2018-11-22,11.89
2018-11-23,11.98
2018-11-26,11.98
2018-11-27,12.06
2018-11-28,12.01
2018-11-29,12.02
2018-11-30,12.06
2018-12-03,11.89
2018-12-04,11.97
2018-12-05,11.98
2018-12-06,12.26
2018-12-07,12.22
2018-12-10,12.37
2018-12-11,12.33
2018-12-12,12.25
2018-12-13,12.28
2018-12-14,12.33
2018-12-17,12.53
2018-12-18,12.76
2018-12-19,12.89
2018-12-20,13.42
2018-12-21,13.60
2018-12-24,13.74
2018-12-25,.
2018-12-26,13.79
2018-12-27,13.71
2018-12-28,13.56
2018-12-31,13.55
2019-01-01,.
2019-01-02,13.58
2019-01-03,13.55
2019-01-04,12.99
2019-01-07,12.74
2019-01-08,12.50
2019-01-09,12.33
2019-01-10,12.34
2019-01-11,12.30
2019-01-14,12.34
2019-01-15,12.30
2019-01-16,12.16
2019-01-17,12.14
2019-01-18,12.00
2019-01-21,12.00
2019-01-22,12.17
2019-01-23,12.18
2019-01-24,12.21
2019-01-25,12.13
2019-01-28,12.25
2019-01-29,12.25
2019-01-30,12.13
2019-01-31,12.10
2019-02-01,12.05
2019-02-04,12.03
2019-02-05,11.90
2019-02-06,11.82
2019-02-07,11.97
2019-02-08,11.98
2019-02-11,11.97
2019-02-12,11.84
2019-02-13,11.78
2019-02-14,11.80
2019-02-15,11.74
2019-02-18,11.74
2019-02-19,11.77
2019-02-20,11.70
2019-02-21,11.65
2019-02-22,11.64
2019-02-25,11.61
2019-02-26,11.55
2019-02-27,11.47
2019-02-28,11.55
2019-03-01,11.56
2019-03-04,11.62
2019-03-05,11.74
2019-03-06,11.82
2019-03-07,11.91
2019-03-08,12.00
2019-03-11,11.91
2019-03-12,11.84
2019-03-13,11.69
2019-03-14,11.64
2019-03-15,11.70
2019-03-18,11.69
2019-03-19,11.68
2019-03-20,11.66
2019-03-21,11.65
2019-03-22,11.77
2019-03-25,11.84
2019-03-26,11.78
2019-03-27,11.74
2019-03-28,11.74
2019-03-29,11.64
2019-03-31,11.65
2019-04-01,11.51
2019-04-02,11.50
2019-04-03,11.41
2019-04-04,11.37
2019-04-05,11.30
2019-04-08,11.26
2019-04-09,11.31
2019-04-10,11.25
2019-04-11,11.26
2019-04-12,11.22
2019-04-15,11.14
2019-04-16,11.10
2019-04-17,11.04
2019-04-18,11.10
2019-04-19,.
2019-04-22,11.15
2019-04-23,11.13
2019-04-24,11.03
2019-04-25,11.05
2019-04-26,11.01
2019-04-29,10.92
2019-04-30,10.61
2019-05-01,10.64
2019-05-02,10.67
2019-05-03,10.67
2019-05-06,10.75
2019-05-07,10.85
2019-05-08,10.95
2019-05-09,11.01
2019-05-10,11.06
2019-05-13,11.27
2019-05-14,11.17
2019-05-15,11.16
2019-05-16,11.04
2019-05-17,11.08
2019-05-20,11.12
2019-05-21,11.05
2019-05-22,11.08
2019-05-23,11.23
2019-05-24,11.19
2019-05-27,11.20
2019-05-28,11.21
2019-05-29,11.41
2019-05-30,11.39
2019-05-31,11.91
2019-06-03,11.93
2019-06-04,11.78
2019-06-05,11.76
2019-06-06,11.78
2019-06-07,11.70
2019-06-10,11.55
2019-06-11,11.54
2019-06-12,11.49
2019-06-13,11.48
2019-06-14,11.43
2019-06-17,11.42
2019-06-18,11.30
2019-06-19,11.27
2019-06-20,11.18
2019-06-21,11.20
2019-06-24,11.24
2019-06-25,11.33
2019-06-26,11.40
2019-06-27,11.30
2019-06-28,11.29
2019-06-30,11.78
2019-07-01,11.73
2019-07-02,11.80
2019-07-03,11.78
2019-07-04,11.78
2019-07-05,11.80
2019-07-08,11.87
2019-07-09,11.93
2019-07-10,11.87
2019-07-11,11.93
2019-07-12,11.94
2019-07-15,11.90
2019-07-16,11.87
2019-07-17,11.92
2019-07-18,12.00
2019-07-19,11.97
2019-07-22,11.96
2019-07-23,11.92
2019-07-24,11.91
2019-07-25,11.89
2019-07-26,11.88
2019-07-29,11.90
2019-07-30,11.99
2019-07-31,11.59
2019-08-01,11.65
2019-08-02,11.78
2019-08-05,12.06
2019-08-06,12.03
2019-08-07,12.21
2019-08-08,12.04
2019-08-09,12.14
2019-08-12,12.30
2019-08-13,12.21
2019-08-14,12.49
2019-08-15,12.46
2019-08-16,12.40
2019-08-19,12.27
2019-08-20,12.23
2019-08-21,12.13
2019-08-22,12.14
2019-08-23,12.15
2019-08-26,12.17
2019-08-27,12.15
2019-08-28,12.15
2019-08-29,12.04
2019-08-30,12.06
2019-08-31,12.04
2019-09-02,12.04
2019-09-03,12.18
2019-09-04,12.12
2019-09-05,12.11
2019-09-06,12.01
2019-09-09,12.00
2019-09-10,11.92
2019-09-11,11.84
2019-09-12,11.79
2019-09-13,11.82
2019-09-16,11.62
2019-09-17,11.65
2019-09-18,11.72
2019-09-19,11.73
2019-09-20,11.73
2019-09-23,11.73
2019-09-24,11.70
2019-09-25,11.79
2019-09-26,11.79
2019-09-27,11.85
2019-09-30,12.20
2019-10-01,12.22
2019-10-02,12.52
2019-10-03,12.59
2019-10-04,12.48
2019-10-07,12.48
2019-10-08,12.60
2019-10-09,12.59
2019-10-10,12.58
2019-10-11,12.48
2019-10-14,12.33
2019-10-15,12.30
2019-10-16,12.26
2019-10-17,12.22
2019-10-18,12.27
2019-10-21,12.22
2019-10-22,12.25
2019-10-23,12.21
2019-10-24,12.19
2019-10-25,12.17
2019-10-28,12.18
2019-10-29,12.14
2019-10-30,12.25
2019-10-31,12.37
2019-11-01,12.38
2019-11-04,12.25
2019-11-05,12.29
2019-11-06,12.43
2019-11-07,12.49
2019-11-08,12.49
2019-11-11,12.50
2019-11-12,12.50
2019-11-13,12.66
2019-11-14,12.72
2019-11-15,12.68
2019-11-18,12.75
2019-11-19,13.01
2019-11-20,12.98
2019-11-21,13.08
2019-11-22,13.09
2019-11-25,13.05
2019-11-26,12.99
2019-11-27,12.96
2019-11-28,.
2019-11-29,13.01
2019-11-30,13.07
2019-12-02,13.15
2019-12-03,13.15
2019-12-04,12.99
2019-12-05,12.93
2019-12-06,12.77
2019-12-09,12.72
2019-12-10,12.63
2019-12-11,12.53
2019-12-12,12.35
2019-12-13,12.21
2019-12-16,11.98
2019-12-17,11.89
2019-12-18,11.76
2019-12-19,11.71
2019-12-20,11.65
2019-12-23,11.64
2019-12-24,11.64
2019-12-25,.
2019-12-26,11.64
2019-12-27,11.62
2019-12-30,11.62
2019-12-31,11.78
2020-01-01,.
2020-01-02,11.70
2020-01-03,11.63
2020-01-06,11.65
2020-01-07,11.58
2020-01-08,11.55
2020-01-09,11.50
2020-01-10,11.44
2020-01-13,11.50
2020-01-14,11.36
2020-01-15,11.31
2020-01-16,11.25
2020-01-17,11.20
2020-01-20,11.20
2020-01-21,11.25
2020-01-22,11.33
2020-01-23,11.45
2020-01-24,11.49
2020-01-27,12.04
2020-01-28,11.86
2020-01-29,11.82
2020-01-30,11.98
2020-01-31,11.86
2020-02-03,11.84
2020-02-04,11.66
2020-02-05,11.57
2020-02-06,11.38
2020-02-07,11.32
2020-02-10,11.39
2020-02-11,11.38
2020-02-12,11.32
2020-02-13,11.27
2020-02-14,11.24
2020-02-17,11.24
2020-02-18,11.33
2020-02-19,11.27
2020-02-20,11.25
2020-02-21,11.19
2020-02-24,11.63
2020-02-25,11.69
2020-02-26,11.83
2020-02-27,12.27
2020-02-28,12.62
2020-02-29,12.81
2020-03-02,12.59
2020-03-03,12.44
2020-03-04,12.41
2020-03-05,12.76
2020-03-06,13.48
2020-03-09,14.61
2020-03-10,14.28
2020-03-11,14.69
2020-03-12,15.85
2020-03-13,15.70
2020-03-16,16.65
2020-03-17,16.85
2020-03-18,18.04
2020-03-19,18.88
2020-03-20,19.17
2020-03-23,19.93
2020-03-24,19.84
2020-03-25,19.41
2020-03-26,18.34
2020-03-27,17.89
2020-03-30,17.73
2020-03-31,18.21
2020-04-01,18.83
2020-04-02,18.87
2020-04-03,19.42
2020-04-06,19.30
2020-04-07,18.93
2020-04-08,18.88
2020-04-09,17.81
2020-04-10,.
2020-04-13,17.53
2020-04-14,16.95
2020-04-15,17.04
2020-04-16,16.95
2020-04-17,16.53
2020-04-20,16.74
2020-04-21,17.05
2020-04-22,16.97
2020-04-23,17.10
2020-04-24,17.25
2020-04-27,17.31
2020-04-28,17.34
2020-04-29,17.21
2020-04-30,18.09
2020-05-01,18.22
2020-05-04,18.32
2020-05-05,18.13
2020-05-06,18.22
2020-05-07,18.14
2020-05-08,18.14
2020-05-11,18.23
2020-05-12,17.95
2020-05-13,18.05
2020-05-14,18.10
2020-05-15,18.12
2020-05-18,17.86
2020-05-19,17.77
2020-05-20,17.50
2020-05-21,17.44
2020-05-22,17.41
2020-05-25,17.44
2020-05-26,17.14
2020-05-27,16.95
2020-05-28,16.71
2020-05-29,16.74
2020-05-31,15.41
2020-06-01,15.22
2020-06-02,14.73
2020-06-03,14.09
2020-06-04,14.09
2020-06-05,13.64
2020-06-08,13.58
2020-06-09,13.67
2020-06-10,13.73
2020-06-11,14.34
2020-06-12,14.27
2020-06-15,14.31
2020-06-16,13.86
2020-06-17,13.84
2020-06-18,14.00
2020-06-19,13.97
2020-06-22,13.99
2020-06-23,14.01
2020-06-24,14.39
2020-06-25,14.50
2020-06-26,14.64
2020-06-29,14.74
2020-06-30,14.46
2020-07-01,14.38
2020-07-02,14.21
2020-07-03,14.21
2020-07-06,14.07
2020-07-07,14.06
2020-07-08,14.09
2020-07-09,14.11
2020-07-10,14.14
2020-07-13,13.96
2020-07-14,13.90
2020-07-15,13.66
2020-07-16,13.61
2020-07-17,13.64
2020-07-20,13.52
2020-07-21,13.17
2020-07-22,13.07
2020-07-23,13.05
2020-07-24,13.11
2020-07-27,13.10
2020-07-28,13.09
2020-07-29,12.96
2020-07-30,12.84
2020-07-31,12.64
2020-08-03,12.54
2020-08-04,12.55
2020-08-05,12.42
2020-08-06,12.42
2020-08-07,12.40
2020-08-10,12.51
2020-08-11,12.40
2020-08-12,12.49
2020-08-13,12.51
2020-08-14,12.60
2020-08-17,12.61
2020-08-18,12.57
2020-08-19,12.56
2020-08-20,12.57
2020-08-21,12.51
2020-08-24,12.40
2020-08-25,12.27
2020-08-26,12.19
2020-08-27,12.12
2020-08-28,12.09
2020-08-31,11.95
2020-09-01,11.87
2020-09-02,11.81
2020-09-03,11.86
2020-09-04,12.01
2020-09-07,12.02
2020-09-08,12.16
2020-09-09,12.03
2020-09-10,12.01
2020-09-11,12.00
2020-09-14,11.84
2020-09-15,11.79
2020-09-16,11.56
2020-09-17,11.58
2020-09-18,11.57
2020-09-21,11.94
2020-09-22,11.94
2020-09-23,12.01
2020-09-24,12.21
2020-09-25,12.23
2020-09-28,12.06
2020-09-29,11.92
2020-09-30,11.80
2020-10-01,11.77
2020-10-02,11.76
2020-10-05,11.62
2020-10-06,11.49
2020-10-07,11.41
2020-10-08,11.36
2020-10-09,11.25
2020-10-12,11.26
2020-10-13,11.22
2020-10-14,11.14
2020-10-15,11.29
2020-10-16,11.21
2020-10-19,11.19
2020-10-20,11.18
2020-10-21,11.20
2020-10-22,11.17
2020-10-23,11.23
2020-10-26,11.38
2020-10-27,11.42
2020-10-28,11.68
2020-10-29,11.62
2020-10-30,11.65
2020-10-31,11.71
2020-11-02,11.64
2020-11-03,11.48
2020-11-04,11.07
2020-11-05,10.75
2020-11-06,10.83
2020-11-09,10.13
2020-11-10,10.28
2020-11-11,10.27
2020-11-12,10.42
2020-11-13,10.39
2020-11-16,10.17
2020-11-17,10.12
2020-11-18,10.04
2020-11-19,10.09
2020-11-20,10.06
2020-11-23,9.97
2020-11-24,9.76
2020-11-25,9.71
2020-11-26,9.71
2020-11-27,9.67
2020-11-30,9.56
