DATE,BAMLH0A1HYBBEY
2020-12-24,3.45
2020-12-25,.
2020-12-28,3.31
2020-12-29,3.29
2020-12-30,3.31
2020-12-31,3.32
2021-01-01,.
2021-01-04,3.37
2021-01-05,3.38
2021-01-06,3.34
2021-01-07,3.33
2021-01-08,3.35
2021-01-11,3.42
2021-01-12,3.46
2021-01-13,3.42
2021-01-14,3.37
2021-01-15,3.34
2021-01-18,3.34
2021-01-19,3.33
2021-01-20,3.30
2021-01-21,3.28
2021-01-22,3.36
2021-01-25,3.34
2021-01-26,3.33
2021-01-27,3.42
2021-01-28,3.36
2021-01-29,3.40
2021-01-31,3.44
2021-02-01,3.42
2021-02-02,3.37
2021-02-03,3.33
2021-02-04,3.29
2021-02-05,3.26
2021-02-08,3.24
