DATE,BAMLC0A1CAAAEY
2016-02-08,2.56
2016-02-09,2.57
2016-02-10,2.55
2016-02-11,2.52
2016-02-12,2.59
2016-02-15,2.59
2016-02-16,2.61
2016-02-17,2.65
2016-02-18,2.60
2016-02-19,2.60
2016-02-22,2.60
2016-02-23,2.58
2016-02-24,2.57
2016-02-25,2.53
2016-02-26,2.58
2016-02-29,2.55
2016-03-01,2.62
2016-03-02,2.62
2016-03-03,2.59
2016-03-04,2.63
2016-03-07,2.63
2016-03-08,2.57
2016-03-09,2.61
2016-03-10,2.62
2016-03-11,2.62
2016-03-14,2.59
2016-03-15,2.59
2016-03-16,2.56
2016-03-17,2.54
2016-03-18,2.50
2016-03-21,2.54
2016-03-22,2.54
2016-03-23,2.49
2016-03-24,2.52
2016-03-25,.
2016-03-28,2.50
2016-03-29,2.44
2016-03-30,2.44
2016-03-31,2.47
2016-04-01,2.47
2016-04-04,2.45
2016-04-05,2.40
2016-04-06,2.42
2016-04-07,2.36
2016-04-08,2.39
2016-04-11,2.39
2016-04-12,2.43
2016-04-13,2.40
2016-04-14,2.42
2016-04-15,2.38
2016-04-18,2.39
2016-04-19,2.39
2016-04-20,2.44
2016-04-21,2.45
2016-04-22,2.46
2016-04-25,2.47
2016-04-26,2.49
2016-04-27,2.45
2016-04-28,2.42
2016-04-29,2.41
2016-04-30,2.49
2016-05-02,2.52
2016-05-03,2.47
2016-05-04,2.47
2016-05-05,2.45
2016-05-06,2.48
2016-05-09,2.46
2016-05-10,2.45
2016-05-11,2.44
2016-05-12,2.47
2016-05-13,2.44
2016-05-16,2.48
2016-05-17,2.49
2016-05-18,2.59
2016-05-19,2.56
2016-05-20,2.57
2016-05-23,2.57
2016-05-24,2.58
2016-05-25,2.59
2016-05-26,2.54
2016-05-27,2.55
2016-05-30,2.55
2016-05-31,2.56
2016-06-01,2.58
2016-06-02,2.55
2016-06-03,2.47
2016-06-06,2.48
2016-06-07,2.47
2016-06-08,2.46
2016-06-09,2.43
2016-06-10,2.41
2016-06-13,2.41
2016-06-14,2.42
2016-06-15,2.41
2016-06-16,2.4
2016-06-17,2.44
2016-06-20,2.46
2016-06-21,2.48
2016-06-22,2.47
2016-06-23,2.51
2016-06-24,2.4
2016-06-27,2.31
2016-06-28,2.32
2016-06-29,2.34
2016-06-30,2.34
2016-07-01,2.31
2016-07-04,2.31
2016-07-05,2.24
2016-07-06,2.25
2016-07-07,2.24
2016-07-08,2.22
2016-07-11,2.26
2016-07-12,2.31
2016-07-13,2.27
2016-07-14,2.31
2016-07-15,2.35
2016-07-18,2.34
2016-07-19,2.33
2016-07-20,2.35
2016-07-21,2.34
2016-07-22,2.35
2016-07-25,2.35
2016-07-26,2.35
2016-07-27,2.32
2016-07-28,2.32
2016-07-29,2.27
2016-07-31,2.28
2016-08-01,2.32
2016-08-02,2.37
2016-08-03,2.37
2016-08-04,2.33
2016-08-05,2.39
2016-08-08,2.37
2016-08-09,2.34
2016-08-10,2.3
2016-08-11,2.35
2016-08-12,2.31
2016-08-15,2.33
2016-08-16,2.35
2016-08-17,2.33
2016-08-18,2.31
2016-08-19,2.34
2016-08-22,2.32
2016-08-23,2.31
2016-08-24,2.31
2016-08-25,2.33
2016-08-26,2.38
2016-08-29,2.32
2016-08-30,2.32
2016-08-31,2.41
2016-09-01,2.41
2016-09-02,2.43
2016-09-05,2.43
2016-09-06,2.39
2016-09-07,2.4
2016-09-08,2.47
2016-09-09,2.52
2016-09-12,2.52
2016-09-13,2.58
2016-09-14,2.55
2016-09-15,2.55
2016-09-16,2.55
2016-09-19,2.54
2016-09-20,2.53
2016-09-21,2.52
2016-09-22,2.49
2016-09-23,2.47
2016-09-26,2.45
2016-09-27,2.43
2016-09-28,2.44
2016-09-29,2.43
2016-09-30,2.47
2016-10-03,2.48
2016-10-04,2.52
2016-10-05,2.54
2016-10-06,2.55
2016-10-07,2.55
2016-10-10,2.55
2016-10-11,2.56
2016-10-12,2.57
2016-10-13,2.54
2016-10-14,2.58
2016-10-17,2.55
2016-10-18,2.52
2016-10-19,2.52
2016-10-20,2.52
2016-10-21,2.52
2016-10-24,2.55
2016-10-25,2.55
2016-10-26,2.59
2016-10-27,2.63
2016-10-28,2.63
2016-10-31,2.64
2016-11-01,2.63
2016-11-02,2.62
2016-11-03,2.63
2016-11-04,2.61
2016-11-07,2.64
2016-11-08,2.66
2016-11-09,2.82
2016-11-10,2.82
2016-11-11,2.82
2016-11-14,2.9
2016-11-15,2.92
2016-11-16,2.9
2016-11-17,2.95
2016-11-18,2.99
2016-11-21,3.01
2016-11-22,3
2016-11-23,3.01
2016-11-24,3.01
2016-11-25,3.02
2016-11-28,2.98
2016-11-29,2.96
2016-11-30,3.05
2016-12-01,3.1
2016-12-02,3.06
2016-12-05,3.06
2016-12-06,3.06
2016-12-07,3.03
2016-12-08,3.06
2016-12-09,3.12
2016-12-12,3.12
2016-12-13,3.12
2016-12-14,3.15
2016-12-15,3.18
2016-12-16,3.2
2016-12-19,3.15
2016-12-20,3.16
2016-12-21,3.14
2016-12-22,3.14
2016-12-23,3.13
2016-12-26,.
2016-12-27,3.15
2016-12-28,3.1
2016-12-29,3.07
2016-12-30,3.04
2016-12-31,3.05
2017-01-02,.
2017-01-03,3.05
2017-01-04,3.05
2017-01-05,2.98
2017-01-06,3.03
2017-01-09,3
2017-01-10,3
2017-01-11,2.99
2017-01-12,2.99
2017-01-13,3.01
2017-01-16,3
2017-01-17,2.96
2017-01-18,3.01
2017-01-19,3.06
2017-01-20,3.06
2017-01-23,3
2017-01-24,3.07
2017-01-25,3.1
2017-01-26,3.08
2017-01-27,3.06
2017-01-30,3.1
2017-01-31,3.1
2017-02-01,3.11
2017-02-02,3.09
2017-02-03,3.1
2017-02-06,3.04
2017-02-07,3.02
2017-02-08,2.99
2017-02-09,3.03
2017-02-10,3.03
2017-02-13,3.04
2017-02-14,3.07
2017-02-15,3.09
2017-02-16,3.04
2017-02-17,3.02
2017-02-20,3.02
2017-02-21,3.03
2017-02-22,3.02
2017-02-23,3
2017-02-24,2.94
2017-02-27,2.98
2017-02-28,3.03
2017-03-01,3.11
2017-03-02,3.12
2017-03-03,3.11
2017-03-06,3.12
2017-03-07,3.15
2017-03-08,3.19
2017-03-09,3.23
2017-03-10,3.22
2017-03-13,3.25
2017-03-14,3.25
2017-03-15,3.17
2017-03-16,3.18
2017-03-17,3.16
2017-03-20,3.14
2017-03-21,3.11
2017-03-22,3.08
2017-03-23,3.09
2017-03-24,3.07
2017-03-27,3.06
2017-03-28,3.08
2017-03-29,3.06
2017-03-30,3.08
2017-03-31,3.07
2017-04-03,3.03
2017-04-04,3.04
2017-04-05,3.04
2017-04-06,3.03
2017-04-07,3.05
2017-04-10,3.04
2017-04-11,2.99
2017-04-12,2.99
2017-04-13,2.94
2017-04-14,.
2017-04-17,2.96
2017-04-18,2.9
2017-04-19,2.91
2017-04-20,2.94
2017-04-21,2.94
2017-04-24,2.97
2017-04-25,3.01
2017-04-26,3
2017-04-27,2.99
2017-04-28,2.98
2017-04-30,2.99
2017-05-01,3.03
2017-05-02,2.99
2017-05-03,2.99
2017-05-04,3.03
2017-05-05,3.02
2017-05-08,3.04
2017-05-09,3.06
2017-05-10,3.06
2017-05-11,3.05
2017-05-12,2.99
2017-05-15,2.99
2017-05-16,2.98
2017-05-17,2.9
2017-05-18,2.92
2017-05-19,2.93
2017-05-22,2.93
2017-05-23,2.96
2017-05-24,2.95
2017-05-25,2.94
2017-05-26,2.93
2017-05-29,2.93
2017-05-30,2.9
2017-05-31,2.9
2017-06-01,2.91
2017-06-02,2.87
2017-06-05,2.88
2017-06-06,2.86
2017-06-07,2.88
2017-06-08,2.9
2017-06-09,2.9
2017-06-12,2.91
2017-06-13,2.91
2017-06-14,2.84
2017-06-15,2.87
2017-06-16,2.86
2017-06-19,2.87
2017-06-20,2.84
2017-06-21,2.83
2017-06-22,2.83
2017-06-23,2.82
2017-06-26,2.81
2017-06-27,2.85
2017-06-28,2.86
2017-06-29,2.89
2017-06-30,2.91
2017-07-03,2.95
2017-07-04,2.95
2017-07-05,2.93
2017-07-06,2.95
2017-07-07,2.96
2017-07-10,2.94
2017-07-11,2.93
2017-07-12,2.89
2017-07-13,2.91
2017-07-14,2.88
2017-07-17,2.87
2017-07-18,2.83
2017-07-19,2.84
2017-07-20,2.84
2017-07-21,2.81
2017-07-24,2.84
2017-07-25,2.9
2017-07-26,2.86
2017-07-27,2.88
2017-07-28,2.86
2017-07-31,2.88
2017-08-01,2.84
2017-08-02,2.86
2017-08-03,2.83
2017-08-04,2.87
2017-08-07,2.85
2017-08-08,2.88
2017-08-09,2.86
2017-08-10,2.85
2017-08-11,2.84
2017-08-14,2.86
2017-08-15,2.89
2017-08-16,2.85
2017-08-17,2.83
2017-08-18,2.83
2017-08-21,2.82
2017-08-22,2.84
2017-08-23,2.81
2017-08-24,2.83
2017-08-25,2.81
2017-08-28,2.8
2017-08-29,2.79
2017-08-30,2.8
2017-08-31,2.79
2017-09-01,2.82
2017-09-04,2.82
2017-09-05,2.75
2017-09-06,2.79
2017-09-07,2.76
2017-09-08,2.77
2017-09-11,2.82
2017-09-12,2.85
2017-09-13,2.86
2017-09-14,2.85
2017-09-15,2.85
2017-09-18,2.87
2017-09-19,2.87
2017-09-20,2.88
2017-09-21,2.88
2017-09-22,2.86
2017-09-25,2.83
2017-09-26,2.83
2017-09-27,2.89
2017-09-28,2.86
2017-09-29,2.87
2017-09-30,2.87
2017-10-02,2.87
2017-10-03,2.85
2017-10-04,2.85
2017-10-05,2.87
2017-10-06,2.88
2017-10-09,2.88
2017-10-10,2.86
2017-10-11,2.86
2017-10-12,2.85
2017-10-13,2.82
2017-10-16,2.85
2017-10-17,2.84
2017-10-18,2.86
2017-10-19,2.85
2017-10-20,2.89
2017-10-23,2.88
2017-10-24,2.89
2017-10-25,2.93
2017-10-26,2.93
2017-10-27,2.91
2017-10-30,2.87
2017-10-31,2.89
2017-11-01,2.90
2017-11-02,2.87
2017-11-03,2.87
2017-11-06,2.86
2017-11-07,2.87
2017-11-08,2.90
2017-11-09,2.92
2017-11-10,2.99
2017-11-13,2.98
2017-11-14,2.97
2017-11-15,2.94
2017-11-16,2.96
2017-11-17,2.95
2017-11-20,2.96
2017-11-21,2.94
2017-11-22,2.89
2017-11-23,2.89
2017-11-24,2.90
2017-11-27,2.90
2017-11-28,2.91
2017-11-29,2.94
2017-11-30,2.99
2017-12-01,2.94
2017-12-04,2.95
2017-12-05,2.93
